Provinsi,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,588.94,815.39,618.57,290.05,496.92,-,-,-,-,-,-,-,-
SUMATERA UTARA,26623.8,15144.7,13774.77,7371.15,18878.22,-,-,-,-,-,-,-,-
SUMATERA BARAT,8730.62,7896.97,5682.96,5950.81,6765.9,-,-,-,-,-,-,-,-
RIAU,87.37,33.26,51.61,88.58,225.07,-,-,-,-,-,-,-,-
JAMBI,261.64,145.91,339.22,256.15,433.84,-,-,-,-,-,-,-,-
SUMATERA SELATAN,3287.42,3868.8,3856.15,1222.29,1923.85,-,-,-,-,-,-,-,-
BENGKULU,1310.7,650.99,738,581.68,828.35,-,-,-,-,-,-,-,-
LAMPUNG,12897.68,19568.71,20456.5,5752,9804.52,-,-,-,-,-,-,-,-
KEP. BANGKA BELITUNG,22.01,-,10.88,107.16,307.09,-,-,-,-,-,-,-,-
KEP. RIAU,-,0.03,0.42,0.74,5.64,-,-,-,-,-,-,-,-
DKI JAKARTA,-,-,-,-,-,-,-,-,-,-,-,-,-
JAWA BARAT,9812.91,14279.48,19883.45,4482.32,8227.57,-,-,-,-,-,-,-,-
JAWA TENGAH,63339.11,50479.45,20650.24,11541.43,32501.48,-,-,-,-,-,-,-,-
DI YOGYAKARTA,4796.79,16254.54,791.13,70.67,1597.46,-,-,-,-,-,-,-,-
JAWA TIMUR,52579.42,128616.62,85804.78,20678.45,33044.11,-,-,-,-,-,-,-,-
BANTEN,293.39,217,142.31,517.53,188.01,-,-,-,-,-,-,-,-
BALI,462.17,692.62,1587.79,356.82,417.38,-,-,-,-,-,-,-,-
NUSA TENGGARA BARAT,2842.72,5538.59,49487.25,45100.26,2318.19,-,-,-,-,-,-,-,-
NUSA TENGGARA TIMUR,2431.09,8871.4,38286.49,34407.19,3491.52,-,-,-,-,-,-,-,-
KALIMANTAN BARAT,2357,2159.73,1400.3,1260.8,2848.94,-,-,-,-,-,-,-,-
KALIMANTAN TENGAH,663.63,888.52,1030.97,390.99,350.99,-,-,-,-,-,-,-,-
KALIMANTAN SELATAN,2030.86,5379.04,2438.91,1582.04,2202.82,-,-,-,-,-,-,-,-
KALIMANTAN TIMUR,197.43,127.88,168.89,96.91,210.81,-,-,-,-,-,-,-,-
KALIMANTAN UTARA,105.52,78.08,2.8,12.62,19.27,-,-,-,-,-,-,-,-
SULAWESI UTARA,2304.43,3055.94,3649.68,2253.09,2034.42,-,-,-,-,-,-,-,-
SULAWESI TENGAH,1742.23,1701.88,2311.54,963.88,1286.49,-,-,-,-,-,-,-,-
SULAWESI SELATAN,9114.83,27596.26,38369.58,11664.87,7591.81,-,-,-,-,-,-,-,-
SULAWESI TENGGARA,1168.7,2099.24,2560.5,1223.26,944.75,-,-,-,-,-,-,-,-
GORONTALO,4072.61,14968.52,31112.41,13884.12,3365.66,-,-,-,-,-,-,-,-
SULAWESI BARAT,491.53,447.3,332.34,100.8,254.88,-,-,-,-,-,-,-,-
MALUKU,158.3,160.43,707.41,292.52,336.34,-,-,-,-,-,-,-,-
MALUKU UTARA,160.8,154.66,88.02,181.38,135.84,-,-,-,-,-,-,-,-
PAPUA BARAT,24.84,49.05,19.28,43.3,22.39,-,-,-,-,-,-,-,-
PAPUA BARAT DAYA,43.13,36.39,45.78,64.4,82.42,-,-,-,-,-,-,-,-
PAPUA,6.06,41.82,75.16,61.16,13.77,-,-,-,-,-,-,-,-
PAPUA SELATAN,12.54,43.49,16.34,24.66,51.76,-,-,-,-,-,-,-,-
PAPUA TENGAH,149.05,85.36,33.24,43.33,54.18,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,9.1,-,-,-,-,-,-,-,-,-,-
